,open,high,low,close,volume
2024-01-15 00:51:00,58068000.0,58111000.0,58068000.0,58088000.0,1.75183119
2024-01-15 00:52:00,58088000.0,58120000.0,58088000.0,58120000.0,2.05433252
2024-01-15 00:53:00,58111000.0,58126000.0,58111000.0,58126000.0,2.05692629
2024-01-15 00:54:00,58119000.0,58128000.0,58119000.0,58125000.0,1.9222526
2024-01-15 00:55:00,58125000.0,58189000.0,58124000.0,58152000.0,2.6791278
2024-01-15 00:56:00,58152000.0,58178000.0,58134000.0,58151000.0,3.67828922
2024-01-15 00:57:00,58151000.0,58155000.0,58129000.0,58129000.0,2.59486536
2024-01-15 00:58:00,58131000.0,58131000.0,58122000.0,58122000.0,3.60568661
2024-01-15 00:59:00,58122000.0,58126000.0,58113000.0,58126000.0,3.38983746
2024-01-15 01:00:00,58126000.0,58127000.0,58121000.0,58127000.0,3.39763796
2024-01-15 01:01:00,58127000.0,58128000.0,58122000.0,58123000.0,2.22318055
2024-01-15 01:02:00,58123000.0,58200000.0,58114000.0,58193000.0,7.34694485
2024-01-15 01:03:00,58193000.0,58229000.0,58193000.0,58210000.0,6.36934116
2024-01-15 01:04:00,58209000.0,58249000.0,58206000.0,58247000.0,4.27008789
2024-01-15 01:05:00,58247000.0,58251000.0,58192000.0,58204000.0,5.79300648
2024-01-15 01:06:00,58204000.0,58216000.0,58119000.0,58175000.0,4.20104184
2024-01-15 01:07:00,58176000.0,58176000.0,58115000.0,58115000.0,3.32175388
2024-01-15 01:08:00,58171000.0,58171000.0,58116000.0,58129000.0,1.61002716
2024-01-15 01:09:00,58148000.0,58166000.0,58118000.0,58132000.0,0.66845206
2024-01-15 01:10:00,58132000.0,58172000.0,58129000.0,58167000.0,10.71556977
2024-01-15 01:11:00,58167000.0,58175000.0,58115000.0,58115000.0,10.46682257
2024-01-15 01:12:00,58115000.0,58164000.0,58115000.0,58117000.0,5.47798599
2024-01-15 01:13:00,58116000.0,58141000.0,58115000.0,58119000.0,2.09179411
2024-01-15 01:14:00,58133000.0,58139000.0,58117000.0,58137000.0,2.94658699
2024-01-15 01:15:00,58136000.0,58140000.0,58117000.0,58133000.0,4.37816765
2024-01-15 01:16:00,58133000.0,58140000.0,58115000.0,58118000.0,4.96495462
2024-01-15 01:17:00,58115000.0,58133000.0,58100000.0,58121000.0,4.4261048
2024-01-15 01:18:00,58121000.0,58132000.0,58121000.0,58131000.0,1.84180162
2024-01-15 01:19:00,58131000.0,58138000.0,58122000.0,58137000.0,13.00484406
2024-01-15 01:20:00,58137000.0,58138000.0,58115000.0,58136000.0,4.03829249
2024-01-15 01:21:00,58138000.0,58138000.0,58068000.0,58088000.0,3.4604142
2024-01-15 01:22:00,58088000.0,58094000.0,58064000.0,58090000.0,2.91427436
2024-01-15 01:23:00,58070000.0,58090000.0,58050000.0,58055000.0,4.67895829
2024-01-15 01:24:00,58057000.0,58057000.0,58031000.0,58035000.0,2.41508813
2024-01-15 01:25:00,58035000.0,58120000.0,58033000.0,58098000.0,4.9632419
2024-01-15 01:26:00,58098000.0,58138000.0,58098000.0,58131000.0,3.77026574
2024-01-15 01:27:00,58131000.0,58139000.0,58103000.0,58130000.0,4.30037677
2024-01-15 01:28:00,58130000.0,58140000.0,58103000.0,58140000.0,2.26877225
2024-01-15 01:29:00,58140000.0,58160000.0,58107000.0,58138000.0,3.71266869
2024-01-15 01:30:00,58138000.0,58138000.0,58106000.0,58107000.0,3.93407357
2024-01-15 01:31:00,58107000.0,58122000.0,58098000.0,58098000.0,4.20567259
2024-01-15 01:32:00,58100000.0,58116000.0,58051000.0,58099000.0,3.0163377
2024-01-15 01:33:00,58099000.0,58125000.0,58073000.0,58125000.0,4.25743967
2024-01-15 01:34:00,58125000.0,58138000.0,58117000.0,58138000.0,2.30985891
2024-01-15 01:35:00,58140000.0,58183000.0,58138000.0,58150000.0,3.55087314
2024-01-15 01:36:00,58156000.0,58237000.0,58150000.0,58220000.0,3.24674277
2024-01-15 01:37:00,58220000.0,58251000.0,58207000.0,58244000.0,4.78036579
2024-01-15 01:38:00,58250000.0,58250000.0,58239000.0,58245000.0,7.46395155
2024-01-15 01:39:00,58248000.0,58257000.0,58246000.0,58252000.0,4.53677002
2024-01-15 01:40:00,58254000.0,58279000.0,58252000.0,58270000.0,4.15564436
2024-01-15 01:41:00,58272000.0,58280000.0,58271000.0,58272000.0,7.35265645
2024-01-15 01:42:00,58272000.0,58272000.0,58259000.0,58260000.0,4.91376417
2024-01-15 01:43:00,58260000.0,58280000.0,58260000.0,58280000.0,3.47788609
2024-01-15 01:44:00,58280000.0,58284000.0,58274000.0,58280000.0,1.82737205
2024-01-15 01:45:00,58281000.0,58299000.0,58254000.0,58258000.0,5.3743862
2024-01-15 01:46:00,58258000.0,58279000.0,58258000.0,58279000.0,1.51838182
2024-01-15 01:47:00,58276000.0,58299000.0,58275000.0,58297000.0,3.11767834
2024-01-15 01:48:00,58297000.0,58297000.0,58276000.0,58277000.0,3.00259819
2024-01-15 01:49:00,58279000.0,58279000.0,58276000.0,58277000.0,2.964346
2024-01-15 01:50:00,58276000.0,58278000.0,58275000.0,58276000.0,3.72094882
2024-01-15 01:51:00,58276000.0,58280000.0,58275000.0,58280000.0,2.11152418
2024-01-15 01:52:00,58280000.0,58280000.0,58279000.0,58280000.0,2.14634574
2024-01-15 01:53:00,58289000.0,58299000.0,58279000.0,58298000.0,1.85273612
2024-01-15 01:54:00,58299000.0,58299000.0,58278000.0,58278000.0,3.51733351
