,open,high,low,close,volume,value
2024-02-07 15:20:00,705.3,708.4,698.0,701.6,3510765.38977321,2465811137.1185927
2024-02-07 15:21:00,700.7,701.4,691.0,692.5,4718029.11586236,3286569575.210699
2024-02-07 15:22:00,692.8,701.6,690.6,701.0,3040641.16997823,2111194557.0485284
2024-02-07 15:23:00,701.6,701.8,696.0,699.5,2412237.91675586,1684945417.4654703
2024-02-07 15:24:00,699.5,702.0,697.8,701.5,1759084.11960745,1231074028.0216596
2024-02-07 15:25:00,701.4,703.3,697.9,700.0,1825683.31212017,1279929340.4480877
2024-02-07 15:26:00,700.0,703.0,678.1,682.0,3645818.5157636,2517021264.894745
2024-02-07 15:27:00,685.0,686.4,677.7,686.4,4739781.27909356,3230542412.5374675
2024-02-07 15:28:00,686.9,694.3,686.4,693.5,1680827.46956502,1161469956.039976
2024-02-07 15:29:00,693.9,702.0,693.3,702.0,1704535.57346896,1191705302.1884642
2024-02-07 15:30:00,702.0,707.5,699.3,704.0,2191572.2066114,1541925900.7334733
2024-02-07 15:31:00,704.5,713.0,704.0,713.0,1892249.77869808,1341467283.9884992
2024-02-07 15:32:00,713.0,716.1,710.4,714.4,2562355.72085708,1827854234.8208928
2024-02-07 15:33:00,714.0,715.2,709.2,709.2,1516457.59783933,1081435916.2182899
2024-02-07 15:34:00,710.1,711.3,708.1,710.3,1170617.13261801,830874619.9060298
2024-02-07 15:35:00,710.0,715.7,709.3,715.7,795189.48021576,565785609.2387167
2024-02-07 15:36:00,715.7,721.0,714.7,714.8,1735704.1575903,1246520488.5572379
2024-02-07 15:37:00,715.3,718.1,715.3,716.6,965764.48273729,692301903.9212577
2024-02-07 15:38:00,716.6,723.0,716.0,723.0,979782.91551699,704529589.17003
2024-02-07 15:39:00,723.1,726.0,721.3,726.0,1594631.00771762,1154130615.9635968
2024-02-07 15:40:00,726.0,728.0,715.0,718.0,2070414.23143989,1492673523.8527248
2024-02-07 15:41:00,718.0,723.2,708.0,712.0,2007892.96539585,1432431986.6307056
2024-02-07 15:42:00,710.0,716.7,709.5,716.0,745438.59138809,531467860.53551066
2024-02-07 15:43:00,716.5,716.5,709.1,711.1,1571400.23859171,1120271981.9843628
2024-02-07 15:44:00,711.1,713.3,708.6,710.9,854816.49810989,607063879.7915308
2024-02-07 15:45:00,711.9,713.9,709.7,713.3,760476.20817411,541354136.0661746
2024-02-07 15:46:00,713.0,714.3,708.8,712.0,937237.59925199,666722360.8233118
2024-02-07 15:47:00,712.0,714.0,694.4,697.3,2243112.21008038,1578759278.528167
2024-02-07 15:48:00,697.3,706.1,695.0,706.1,2006205.32189832,1403502921.7281694
2024-02-07 15:49:00,705.4,710.0,702.6,708.0,979537.36349841,690877100.0780122
2024-02-07 15:50:00,708.0,709.3,704.2,706.9,683183.92146224,482740440.2886268
2024-02-07 15:51:00,706.9,707.0,703.5,706.3,478488.71500957,337282811.0003971
2024-02-07 15:52:00,706.3,709.7,706.3,709.7,312765.8421885,221141506.89804533
2024-02-07 15:53:00,709.7,712.5,706.9,709.7,1265940.22274368,899175441.8236034
2024-02-07 15:54:00,710.0,716.0,710.0,715.8,905259.45350445,645734482.3007083
2024-02-07 15:55:00,715.7,718.8,712.5,713.0,1311312.81905371,940144255.2143073
2024-02-07 15:56:00,713.0,716.2,712.2,716.2,528833.94826676,377502300.8641789
2024-02-07 15:57:00,716.3,721.0,714.2,720.6,1181049.12444051,849019362.52788
2024-02-07 15:58:00,720.4,720.7,716.9,718.3,1099435.81794301,790001694.2496476
2024-02-07 15:59:00,718.3,724.7,718.0,724.5,803120.25584986,578724147.9102257
2024-02-07 16:00:00,724.4,733.0,723.4,733.0,1842285.62402435,1339965243.8878708
2024-02-07 16:01:00,732.2,732.3,725.0,730.0,1995048.1559912,1454378147.8206642
2024-02-07 16:02:00,730.0,730.8,725.4,725.4,1104690.98984016,804922653.0531083
