,open,high,low,close,volume,value
2024-03-10 21:13:00,992.2,992.6,992.0,992.0,59268.46330199,58799939.4374457
2024-03-10 21:14:00,992.4,992.4,990.7,990.7,52859.92544025,52387967.83046729
2024-03-10 21:15:00,990.8,991.1,990.5,990.6,31648.80572311,31352935.67094787
2024-03-10 21:16:00,990.6,991.0,990.5,990.7,25655.57241497,25415992.43668774
2024-03-10 21:17:00,990.6,991.1,990.6,991.0,34019.11559193,33702234.5478158
2024-03-10 21:18:00,991.0,993.6,991.0,993.6,38737.60224703,38460204.79022745
2024-03-10 21:19:00,993.0,993.9,993.0,993.8,6986.59110493,6939377.94623841
2024-03-10 21:20:00,993.8,994.2,993.8,994.0,11780.21130873,11711501.55036636
2024-03-10 21:21:00,994.0,994.2,993.8,993.8,17681.60035135,17573114.80181313
2024-03-10 21:22:00,993.8,994.2,992.7,992.7,23352.29419889,23187486.59204388
2024-03-10 21:23:00,992.7,993.2,992.4,993.2,11357.45302444,11276376.95848783
2024-03-10 21:24:00,993.2,993.2,992.5,992.7,9188.68039435,9124025.62790114
2024-03-10 21:25:00,992.7,993.0,991.0,991.0,52382.46635404,51982918.3069654
2024-03-10 21:26:00,991.7,992.7,991.0,991.1,23531.54000333,23327022.28931503
2024-03-10 21:27:00,991.1,992.0,990.8,990.8,40504.23017346,40142344.28566881
2024-03-10 21:28:00,990.8,991.1,988.8,988.9,119713.32420042,118519865.6241979
2024-03-10 21:29:00,988.8,988.8,988.0,988.0,57060.29608544,56395626.18515333
2024-03-10 21:30:00,988.0,988.2,987.0,987.0,143461.32569228,141655565.96312678
2024-03-10 21:31:00,987.1,987.1,985.0,985.1,206608.0378453,203757850.94924513
2024-03-10 21:32:00,985.1,985.1,984.5,984.8,112521.33972664,110828838.28423141
2024-03-10 21:33:00,984.8,985.5,984.7,984.8,105782.128592,104172259.66722856
2024-03-10 21:34:00,984.8,986.3,984.8,986.1,42197.86874793,41603406.33363947
2024-03-10 21:35:00,986.1,986.1,982.1,982.9,118213.09877328,116309468.94176792
2024-03-10 21:36:00,982.9,983.2,981.6,981.6,37725.71123234,37063547.27947905
2024-03-10 21:37:00,981.6,981.7,979.5,979.5,180673.14292808,177108892.70564562
2024-03-10 21:38:00,979.9,981.4,979.0,981.3,203860.39654102,199624327.59591812
2024-03-10 21:39:00,981.3,985.9,981.3,983.9,25745.71225787,25271298.3693831
2024-03-10 21:40:00,982.1,983.7,980.0,982.1,59424.53297553,58340300.75427732
2024-03-10 21:41:00,982.0,982.1,980.0,980.0,34219.57706178,33572763.52121983
2024-03-10 21:42:00,980.2,981.4,979.9,980.3,39577.36277233,38799203.58097552
2024-03-10 21:43:00,980.3,981.4,980.3,981.4,49060.4681067,48125747.1680563
2024-03-10 21:44:00,981.4,982.1,981.4,982.1,35530.28282046,34880743.93838281
2024-03-10 21:45:00,982.1,982.7,982.0,982.7,34819.70342019,34196225.47128026
2024-03-10 21:46:00,984.0,985.9,982.4,985.0,46242.95988964,45556967.00785309
2024-03-10 21:47:00,985.1,985.8,982.7,984.9,48824.80884627,48090619.12876114
2024-03-10 21:48:00,983.0,984.7,983.0,984.5,1770.40433994,1740669.37002358
2024-03-10 21:49:00,984.0,984.3,983.0,983.1,26688.19430816,26240511.56621818
2024-03-10 21:50:00,983.1,984.0,983.1,983.1,16825.19396274,16551112.4377042
